Score_POST,pretest score,posttest score
3,9,7
5,9,12
4,9,11
3,0,7
5,0,12
4,0,11
5,9,12
5,11,13
6,12,14
5,13,12
,13,0
5,0,12
,0,0
3,8,8
4,8,7
6,11,12
5,10,12
6,11,13
5,10,12
2,8,9
6,9,14
3,11,11
6,10,13
6,10,11
2,8,10
2,0,10
3,6,8
6,11,13
6,11,13
6,12,13
6,13,13
5,9,12
4,10,11
5,8,12
5,10,11
4,11,12
4,10,11
5,9,11
6,9,12
5,11,12
5,11,12
5,8,11
5,0,11
6,13,13
6,7,13
5,11,12
5,11,13
5,7,12
5,8,12
5,11,12
5,7,13
5,8,12
4,9,10
5,10,11
4,5,11
5,11,9
5,11,13
5,12,11
5,11,12
,7,0
4,9,9
5,7,12
4,7,12
4,11,11
4,10,10
5,11,13
3,6,10
4,11,11
5,10,12
5,6,11
5,11,11
5,11,12
5,11,11
5,10,12
5,10,11
5,8,13
4,10,10
5,9,13
4,11,10
5,7,11
5,13,13
5,12,12
5,8,13
4,8,11
5,10,12
4,11,12
4,11,11
6,9,13
4,11,11
3,11,10
5,11,12
5,11,12
4,11,10
5,8,12
5,10,11
5,11,13
4,9,10
5,10,13
4,10,11
6,9,13
6,12,13
5,10,13
4,9,11
5,11,12
3,8,9
4,8,10
6,12,13
,7,0
5,10,12
5,11,12
5,12,13
4,11,11
4,10,11
5,11,13
4,9,11
5,12,11
4,11,11
3,8,10
6,13,14
5,10,12
4,9,11
6,12,13
6,13,13
5,9,11
4,11,11
5,8,13
6,9,13
5,9,12
4,9,10
5,10,11
6,11,12
5,10,12
6,12,13
6,10,11
5,11,13
5,12,13
5,11,12
,12,7
5,11,13
5,9,10
6,12,13
5,10,13
6,11,13
4,9,11
5,8,11
3,11,11
4,11,10
5,10,12
6,13,13
6,12,13
5,12,11
5,9,12
6,10,13
5,12,12
5,10,12
5,8,13
5,10,13
5,9,12
4,12,12
5,10,12
6,11,14
5,7,12
6,11,13
5,12,12
6,12,13
6,13,12
5,12,12
5,11,13
5,12,12
6,11,14
5,12,11
6,12,13
5,13,12
6,12,14
6,10,13
5,11,12
4,11,11
5,12,12
5,8,12
5,12,12
5,9,13
5,12,13
6,12,13
5,10,13
4,11,10
4,9,11
3,11,8
6,13,13
5,12,13
5,11,11
4,9,12
5,13,13
4,7,9
5,7,13
5,11,12
5,9,12
5,10,12
5,9,12
5,5,12
5,10,13
6,13,13
4,7,10
5,10,13
5,11,12
,11,0
4,7,9
4,13,11
5,7,11
4,12,12
5,12,13
5,12,12
,12,0
5,11,12
